Variable	Attribute	Value	Proposed name	example value	notes
solar_actinic_flux
	type	float32
	dimension	time
	units	cm-2 s-1 nm-1
	standard_name		solar_actinic_flux
	long_name	Solar Actinic Flux (280â€“420 nm)
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude

photolysis_frequencies_jno2
	type	float32
	dimension	time
	units	s-1
	standard_name		photolysis_frequencies_jno2
	long_name	Photolysis Frequencies (j(NO(2))
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude

photolysis_frequencies_jo1d
	type	float32
	dimension	time
	units	s-1
	standard_name		photolysis_frequencies_jo1d
	long_name	Photolysis Frequencies (j(O(1))(D))
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude

photolysis_frequencies_jhcho
	type	float32
	dimension	time
	units	s-1
	standard_name		photolysis_frequencies_jhcho
	long_name	Photolysis Frequencies (j(HCHO))
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods			time: mean or time: point
	coordinates	latitude longitude

photolysis_frequencies_jhono
	type	float32
	dimension	time
	units	s-1
	standard_name		photolysis_frequencies_jhono
	long_name	Photolysis Frequencies (j(HONO))
	_FillValue	-1.00E+20
	valid_min	<derived from file>
	valid_max	<derived from file>
	cell_methods
	coordinates	latitude longitude

qc_flag
	type	byte
	dimension	time
	units	1
	standard_name
	long_name	Data Quality flag
	flag_values	0b,1b, 2b, 3b
	flag_meanings	not_used|good_data |suspect_data_unspecified_instrument_performance_issues_contact_data_originator_for_more_information|suspect_data_time_stamp_error
